playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
haineje01,1939,BBWAA,274,206,1,N,Player,19,19
harribu01,1939,BBWAA,274,206,1,N,Manager,12,0
hoytwa01,1939,BBWAA,274,206,1,N,Player,25,25
irwinch01,1939,BBWAA,274,206,1,N,Player,11,0
jonessa01,1939,BBWAA,274,206,1,N,Player,22,22
kellejo01,1939,BBWAA,274,206,1,N,Player,19,0
knabeot01,1939,BBWAA,274,206,1,N,Player,12,0
leachto01,1939,BBWAA,274,206,1,N,Player,20,0
longhe01,1939,BBWAA,274,206,1,N,Player,17,0
luquedo01,1939,BBWAA,274,206,1,N,Player,20,20
mageesh01,1939,BBWAA,274,206,1,N,Player,17,0
moranpa01,1939,BBWAA,274,206,1,N,Player,14,0
nehfar01,1939,BBWAA,274,206,1,N,Player,18,18
peckiro01,1939,BBWAA,274,206,1,N,Player,18,0
peitzhe01,1939,BBWAA,274,206,1,N,Player,16,3
perduhu01,1939,BBWAA,274,206,1,N,Player,6,6
phillde01,1939,BBWAA,274,206,1,N,Player,13,13
schacal01,1939,BBWAA,274,206,1,N,Player,3,3
scottev01,1939,BBWAA,274,206,1,N,Player,15,0
shockur01,1939,BBWAA,274,206,1,N,Player,13,13
stahlja01,1939,BBWAA,274,206,1,N,Player,10,0
steinha01,1939,BBWAA,274,206,1,N,Player,14,0
wilsoha01,1939,BBWAA,274,206,1,N,Player,13,0
ansonca01,1939,Old Timers,,,,Y,Player,27,2
comisch01,1939,Old Timers,,,,Y,Pioneer/Executive,13,3
